SUPERKINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES	DOMAIN	ORGANISM NAME	STRAIN	SEROVAR/BIOVAR	COMMON NAME	NCBI PROJECT NAME	CULTURE COLLECTION	TYPE STRAIN	GOLDSTAMP	OLD GOLDSTAMP	PROJECT TYPE	PROJECT STATUS	AVAILABILITY	SEQUENCING CENTERS	FUNDING	CONTACT NAME	CONTACT EMAIL	CONTACT URL	LOCUS TAG	COMPLETION DATE	PUBLICATION	PROJECT RELEVANCE	NCBI TAXON ID	NCBI PROJECT ID	NCBI ARCHIVE ID	SHORT READS ARCHIVE ID	GCAT_ID	HMP ID	HOMD ID	STRAININFO ID	GREENGENES OBJECT ID	IMG OBJECT ID	GENOME DATA	SEQUENCING STATUS	SEQUENCING QUALITY	COMMENTS	LIBRARY METHOD	READS COUNT	VECTOR	ASSEMBLY METHOD	SEQUENCING DEPTH	GENE CALLING METHOD	CONTIG COUNT	SIZE(kb)	ORFS	CHROMOSOME COUNT	PLASMID COUNT	GC Content	SEQUENCING METHOD	SEQUENCING COUNTRY	ISOLATION SITE	ISOLATION SOURCE	ISOLATION COMMENTS	COLLECTION DATE	ISOLATION COUNTRY	ISOLATION PUBMED ID	GEOGRAPHIC LOCATION	LATITUDE	LONGITUDE	ALTITUDE	DEPTH	HOST NAME	HOST TAXON ID	HOST GENDER	HOST AGE	HOST RACE	HOST HEALTH	HOST MEDICATION	HOST SPECIFICITY	BODY SAMPLE SITE	BODY PRODUCT	BODY SAMPLE SUBSITE	HOST COMMENTS	OXYGEN REQUIREMENT	CELL SHAPE	SPORULATION	PRESSURE	TEMPERATURE RANGE	SALINITY	PH	CELL DIAMETER	CELL LENGTH	COLOR	GRAM STAINING	BIOTIC RELATIONSHIPS	SYMBIOTIC INTERACTION	SYMBIOTIC RELATIONSHIP	SYMBIONT NAME	SYMBIONT TAXON ID	CELL ARRANGEMENT	DISEASE	HABITAT	TEMPERATURE	METABOLISM	MOTILITY	PHENOTYPE	ENERGY SOURCE
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	BACTERIAL	Klebsiella pneumoniae  MGH78578	MGH78578	NA		Klebsiella pneumoniae subsp. pneumoniae MGH 78578	ATCC 700721	NA	Gc00609	Gi00306	Genome	Complete and Published	Public	Washington Univ	NIH-NIAID	Clifton S	sclifton@watson.wustl.edu	NA	KPN	2007-07-05	Unpublished 	Animal Pathogen, Medical, Human Pathogen, Cattle Pathogen	272620	31	NA		001147_GCAT	NA		NA	248427	640753032	NC_009648	Complete	NA		NA		NA		NA		NA	5315	5417	1	5	40	Sanger	USA	Patient in 1994	NA		1994	NA		Patient in 1994	NA		NA		Homo sapiens	NA		NA		Patient	NA		Gastrointestinal tract	Feces	NA		Facultative	Rod-shaped	NA		Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	Urinary tract infection, Bacteremia, Pneumonia	Intestinal microflora, Host, Mouth microflora, Skin microflora, Soil, Fresh water	37	NA	Nonmotile	Pathogen, Lactose fermenting	
Eukaryota	Streptophyta	NA	Malpighiales	Salicaceae	Populus	NA	EUKARYAL	Populus balsamifera trichocarpa  	NA		NA	Populus trichocarpa	NA		Gc00608	Gi00477	Genome	Complete and Published	Public	Swedish Univ of Agricultural Sciences, DOE Joint Genome Institute, Genome Canada, Univ of Washington, Oak Ridge National Lab	DOE	Tuskan GA	gtk@ornl.gov	NA		2006-09-15	Science 313, 1596-604	Agricultural	3694	10772	NA		002292_GCAT	NA		NA		0	NC_008467-85	Complete	Level 2: High-Quality Draft	NA		NA		NA	7.5x	NA		550000	45000	10	0	33.7	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	NA		Peronosporales	NA	Phytophthora	NA	EUKARYAL	Phytophthora sojae  P6497	P6497	NA		Phytophthora sojae	NA		Gc00607	Gi00452	Genome	Complete and Published	Public	Virginia Polytechnic Institute, DOE Joint Genome Institute	DOE, NSF, USDA	Tyler B	NA	http://www.vbi.vt.edu/staff/perspage_fcty/fcty_tyler_bret.htm	NA	2006-09-01	Science 313, 1261-6	Plant Pathogen, Agricultural	67593	17989	NA		002165_GCAT	NA		NA		0	AAQY00000000	Complete	Level 2: High-Quality Draft	NA		NA		NA		NA		62000	0	NA		0	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		Root rot	NA		NA		Pathogen	
Eukaryota	NA		Peronosporales	NA	Phytophthora	NA	EUKARYAL	Phytophthora ramorum  Pr102, UCD Pr4	Pr102, UCD Pr4	NA		Phytophthora ramorum	NA		Gc00606	Gi00450	Genome	Complete and Published	Public	Virginia Polytechnic Institute, DOE Joint Genome Institute	DOE, NSF, USDA	Tyler B	NA	http://www.vbi.vt.edu/staff/perspage_fcty/fcty_tyler_bret.htm	NA	2006-09-01	Science 313, 1261-6	Plant Pathogen, Agricultural	164328	12571	NA		002164_GCAT	NA		NA		0	AAQX00000000	Complete	Level 2: High-Quality Draft	NA		NA		NA	7x	NA		65000	15743	NA		0	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		Sudden Oak Death	NA		NA		Pathogen	
Eukaryota	NA	Oligohymenophorea	Peniculida	Parameciidae	Paramecium	Paramecium tetraurelia	EUKARYAL	Paramecium tetraurelia  d4-2	d4-2	NA		Paramecium tetraurelia strain d4-2	NA		Gc00605	Gi00432	Genome	Complete and Published	Public	Genoscope, International Consortium	NA	Sperling L	sperling@cgm.cnrs-gif.fr	NA		2005-11-09	Nature 444, 171-8	Model organism	412030	18363	NA		001904_GCAT	NA		NA		0	CAAL01000000	Complete	Level 2: High-Quality Draft	NA		NA		NA	13x	NA		200000	40000	NA		0	Sanger	France	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Chordata	Mammalia	Primates	Hominidae	Pan	NA	EUKARYAL	Pan troglodytes  Yerkes chimp pedigree #C0471	Yerkes chimp pedigree #C0471	NA		Pan troglodytes	NA		Gc00604	Gi00424	Genome	Complete and Published	Public	BCM-HGSC, Broad Institute, Washington Univ	NIH-NHGRI	Gibbs R	ragibbs@bcm.tmc.edu	http://genome.wustl.edu/Bio/email_data.cgi?staff=Wes%20Warren	NA	2005-09-01	Nature 437, 69-87	NA	9598	12552	NA		002502_GCAT	NA		NA		0	NC_006468-92	Complete	Level 2: High-Quality Draft	NA		NA		NA	3.6x	NA		3100000	48910	24	NA	0	Sanger	International	captive-born descendant of chimpanzees from the West Africa	NA		NA		NA	captive-born descendant of chimpanzees from the West Africa	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		Mesophile	NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Streptophyta	Liliopsida	Poales	Poaceae	Oryza	Oryza sativa	EUKARYAL	Oryza sativa ssp. japonica  	NA		NA	Oryza sativa Japonica Group	NA		Gc00603	Gi00421	Genome	Complete and Published	Public	IRGSP, Genoscope, CUGI, J. Craig Venter Institute	NA	Sasaki T	tsasaki@nias.affrc.go.jp	NA		2005-08-11	Nature 436, 793-800	Agricultural	39947	13141	NA		002272_GCAT	NA		NA		0	NC_008394-405	Complete	Level 2: High-Quality Draft	NA		NA		NA	10x	NA		360785	37544	12	0	43	Sanger	International	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		None	NA		NA		NA	
Eukaryota	Chordata	Mammalia	Didelphimorphia	Didelphidae	Monodelphis	NA	EUKARYAL	Monodelphis domestica  pop1	pop1	NA	Gray short-tailed opossum	Monodelphis domestica	NA		Gc00602	Gi00375	Genome	Complete and Published	Public	Broad Institute, Washington Univ	NIH-NHGRI	Lindblad-Toh, K	kersli@broad.mit.edu	NA		2007-05-10	Nature 447, 167-77	NA	13616	12561	NA		002470_GCAT	NA		NA		0	AAFR00000000	Complete	Level 2: High-Quality Draft	NA		NA		NA		NA		0	19022	9	0	0	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Ascomycota	Sordariomycetes	NA	Magnaporthaceae	Magnaporthe	Magnaporthe grisea	EUKARYAL	Magnaporthe grisea  70-15	70-15	NA		Magnaporthe grisea 70-15	NA		Gc00601	Gi00342	Genome	Complete and Published	Public	Broad Institute, North Carolina State Univ	NSF, USDA	Dean RA	ralph_dean@ncsu.edu	NA	MGG	2005-04-21	Nature 434, 980-6	Agricultural, Plant Pathogen, Fungal Genome Initiative (FGI)	242507	13840	NA		002041_GCAT	NA		NA		640281007	NZ_AACU00000000	Complete	Level 2: High-Quality Draft	NA		NA		NA	7x	NA		37800	13146	7	0	51.7	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		Rice blast	NA		NA		Pathogen	
Eukaryota	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	NA	EUKARYAL	Macaca mulatta  	NA		Rhesus monkey	Macaca mulatta	NA		Gc00600	Gi00340	Genome	Complete and Published	Public	BCM-HGSC, Washington Univ, J. Craig Venter Institute	NCRR, NIH-NHGRI	Gibbs R	ragibbs@bcm.tmc.edu	NA		2007-04-13	Science 316, 222-34	NA	9544	12537	NA		002485_GCAT	NA		NA		0	NC_007858-78	Complete	Level 2: High-Quality Draft	NA		NA		NA	6x	NA		2871189	34023	22	0	40.7	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus	NA	EUKARYAL	Gallus gallus  BN/SsNHsdMCW	BN/SsNHsdMCW	NA	Chicken	Gallus gallus	NA		Gc00599	Gi00267	Genome	Complete and Published	Public	Sanger Institute, Roslin Institute, Washington Univ	NIH-NHGRI	Contact	NA	http://www.ri.bbsrc.ac.uk/chickmap/other_labs.html	NA	2004-12-09	Nature 432, 695-716	NA	9031	13342	NA		002426_GCAT	NA		NA		0	NC_006088-119	Complete	Level 2: High-Quality Draft	NA		NA		NA	6.6x	NA		1000000	15419	40	0	0	Sanger	International	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila pseudoobscura	EUKARYAL	Drosophila pseudoobscura  MV2-25	MV2-25	NA		Drosophila pseudoobscura pseudoobscura MV2-25	NA		Gc00598	Gi00206	Genome	Complete and Published	Public	BCM-HGSC	NIH-NHGRI	Richards S	stephenr@bcm.tmc.edu	NA		2005-01-08	Genome Res. 15, 1-18	NA	7237	10626	NA		002351_GCAT	NA		NA		0	NZ_AADE00000000	Complete	Level 2: High-Quality Draft	NA		NA		NA	9.1x	NA		147433	9946	4	0	45.2	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis lupus	EUKARYAL	Canis lupus familiaris  boxer	boxer	NA	Dog	Canis lupus familiaris	NA		Gc00597	Gi00132	Genome	Complete and Published	Public	Univ of Oregon, Broad Institute, Fred Hutchinson Cancer Research Center, Agencourt Bioscience, Univ of California, Berkeley	NIH-NHGRI	Rine J	Jasper_Rine@ls.berkeley.edu	NA		2005-12-08	Nature 438, 803-19	Model organism	9615	13179	NA		002440_GCAT	NA		NA		0	AAEX00000000, NC_006583-621	Complete	Level 2: High-Quality Draft	NA		NA		NA	7.6x	NA		2400000	19300	39	0	0	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		NA		NA		NA		
Eukaryota	Arthropoda	Insecta	Lepidoptera	Bombycidae	Bombyx	NA	EUKARYAL	Bombyx mori  Dazao	Dazao	NA		Bombyx mori Dazao	NA		Gc00596	Gi01144	Genome	Complete and Published	Public	SWAU, China	NA	Xia Q	xiaqy@swau.cq.cn	NA		2004-12-10	Science 306, 1937-40	Protein production, Biotechnological	7091	13125	NA		002340_GCAT	NA		NA		0	AADK00000000	Complete	Level 2: High-Quality Draft	NA		NA		NA	5.9x	NA		530000	18510	28	0	0	Sanger	China	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		None	NA		NA		NA	
Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	NA	EUKARYAL	Aedes aegypti  Liverpool	Liverpool	NA		Aedes aegypti Liverpool	NA		Gc00595	Gi00015	Genome	Complete and Published	Public	Colorado State Univ, Broad Institute, J. Craig Venter Institute	NIH-NIAID	Severson DW	NA	http://www.science.nd.edu/biology/faculty/severson.html	NA	2007-06-22	Science 316, 1718-23	Animal Pathogen, Medical, Human Pathogen	7159	12434	NA		002329_GCAT	NA		NA		0	AAGE00000000	Complete	Level 2: High-Quality Draft	NA		NA		NA	8x	NA		1380000	0	3	0	38.3	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		Yellow fever	NA		NA		Pathogen	
Eukaryota	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	NA	EUKARYAL	Apis mellifera  DH4	DH4	NA		Apis mellifera DH4	NA		Gc00594	Gi00031	Genome	Complete and Published	Public	BCM-HGSC	USDA, NIH-NHGRI	Weinstock G	gweinsto@watson.wustl.edu	NA		2006-11-01	Nature 443, 931-949	Medical, Agricultural	7460	10625	NA		002334_GCAT	NA		NA		0	NC_007070-85	Complete	Level 2: High-Quality Draft	NA		NA		NA	7-8x	NA		200000	6704	16	0	0	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Mesophile	NA		NA		NA		NA		NA		NA		None	NA		NA		NA	
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	BACTERIAL	Staphylococcus aureus aureus  Newman	Newman	NA		Staphylococcus aureus subsp. aureus str. Newman	NA		Gc00593	NA	Genome	Complete and Published	Public	Juntendo Univ	NA	Baba, T	tbaba@med.juntendo.ac.jp	NA	NWMN	2007-07-03	J Bacteriology 190, 300-10	Animal Pathogen, Medical, Human Pathogen	426430	18801	NA		002835_GCAT	NA		NA		640753054	NC_009641	Complete	NA		NA		NA		NA		NA	2878	2707	1	0	32	Sanger	Japan	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Facultative	Coccus-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		Clusters, Singles	Skin infection, Endocarditis, Pneumonia	Host	30 - 37	NA	Nonmotile	NA	
Eukaryota	Chlorophyta	Prasinophyceae	Mamiellales	NA	Ostreococcus	Ostreococcus 'lucimarinus'	EUKARYAL	Ostreococcus lucimarinus  CCE9901 - RCC141	CCE9901 - RCC141	NA		Ostreococcus lucimarinus CCE9901	CCMP2514	NA	Gc00592	Gi01106	Genome	Complete and Published	Public	DOE Joint Genome Institute, UCSD	DOE	Palenik B	bpalenik@ucsd.edu	NA	OSTLU	2007-05-03	PNAS 104, 7705-7710	NA	436017	13044	NA		002275_GCAT	NA		NA		640281011	NC_009355-73	Complete	Level 2: High-Quality Draft	NA		NA		NA		NA		13204	7640	21	0	60.4	Sanger	USA	La Jolla, California	NA		NA	USA	NA	La Jolla, California	32.9000	-117.2550	NA		NA		NA		NA		NA		NA		NA		NA		NA		Mesophile	NA		NA		NA		NA		NA		NA		NA	Marine, Deep sea	NA		NA	Low light adapted	
Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis	ARCHAEAL	Methanococcus maripaludis  C7	C7	NA		Methanococcus maripaludis C7	ATCC BAA-1331	NA	Gc00591	Gi01308	Genome	Complete and Published	Public	DOE Joint Genome Institute	DOE	Bruce D	microbes@cuba.jgi-psf.org	NA	MmarC7	2007-06-29	Unpublished 	Energy production, Biotechnological	426368	18819	NA		001821_GCAT	NA		NA	39	640753035	NC_009637	Complete	NA		NA		NA		10.7x	NA		1772	1900	1	0	33.7	Sanger	USA	Intertidal sediments	NA		NA		NA	Intertidal sediments	NA		NA		NA		NA		NA		NA		NA		NA		Obligate anaerobe	Coccus-shaped	Nonsporulating	NA	Mesophile	NA	6.5 - 8	NA		NA	gram-	Free living	NA		NA		Singles	None	Marine, Sediment	20 - 45	NA	Motile	Methanogen, Nitrogen fixation, Hydrogenotrophic	Lithotroph
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium medicae	BACTERIAL	Sinorhizobium medicae  WSM419	WSM419	NA		Sinorhizobium medicae WSM419	ATCC	No	Gc00590	Gi01041	Genome	Complete and Published	Public	DOE Joint Genome Institute	DOE	Reeve WG	W.Reeve@murdoch.edu.au	NA	Smed	2007-06-29	Unpublished 	Biotechnological	366394	16304	NA		001593_GCAT	NA		NA		640753051	NC_009636	Complete	Level 6: Finished	NA	3Kb, 8Kb, 40Kb	92741	pUC18c, pTH1522, pMCL200, pcc1Fos	Phrap	12x	NA		3781	6644	1	3	62	Sanger	USA	Forestry Station 7 k south of Tempio, Sardinia	Howieson and Chatel	donut morphology on 0.5 LA, growth in 72 hrs, acid tolerant	May 1, 1981	Italy	NA	Forestry Station 7 k south of Tempio, Sardinia	40.888925	9.101915	350m	NA	Medicago murex	75627	NA		NA		NA		NA		NA	acid soil tolerant species	Aerobe	Rod-shaped	Nonsporulating	NA	Mesophile	NA	5-9	NA		NA	gram-	Symbiotic	Endosymbiotic intracellular	Mutualistic	Medicago murex	75627	NA	None	Soil, Plant root, Root nodule, Rhizosphere	28	NA	Motile	Nitrogen fixation	
Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus aeolicus	ARCHAEAL	Methanococcus aeolicus  Nankai-3	Nankai-3	NA		Methanococcus aeolicus Nankai-3	NA		Gc00589	Gi01899	Genome	Complete and Published	Public	DOE Joint Genome Institute	DOE	Bruce D	microbes@cuba.jgi-psf.org	NA	Maeo	2007-06-29	Unpublished 	Biotechnological, Energy production, Carbon cycle	419665	18641	NA		001824_GCAT	NA		NA		640753034	NC_009635	Complete	NA		NA		NA		12.7x	NA		1569	1595	1	0	30	454, Sanger	USA	Deep marine sediment from the Nankai Trough off the coast of Japan	NA		NA	Japan	NA	Deep marine sediment from the Nankai Trough off the coast of Japan	33.216667	136.71667	NA		NA		NA		NA		NA		NA		NA		Anaerobe	Coccus-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	None	Marine	42	NA	Motile	Methanogen	Lithotroph
Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus vannielii	ARCHAEAL	Methanococcus vannielii  SB	SB	NA		Methanococcus vannielii SB	NA		Gc00588	Gi01309	Genome	Complete and Published	Public	DOE Joint Genome Institute	DOE	Bruce D	microbes@cuba.jgi-psf.org	NA	Mevan	2007-06-29	Unpublished 	Biotechnological, Energy production, Carbon cycle	406327	17889	NA		001822_GCAT	NA		NA	213180	640753036	NC_009634	Complete	NA		NA		NA		NA		NA	1720	1797	1	0	31	Sanger	USA	San Francisco Bay mud flat	NA		NA	USA	NA	San Francisco Bay mud flat	37.690968	-122.310752	NA		NA		NA		NA		NA		NA		NA		Anaerobe	Coccus-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		Singles	None	Marine, Mud	20 - 40	NA	Motile	Methanogen	Lithotroph
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Alkaliphilus	Alkaliphilus metalliredigens	BACTERIAL	Alkaliphilus metalliredigenes  QYMF	QYMF	NA		Alkaliphilus metalliredigens QYMF	NA		Gc00587	Gi00023	Genome	Complete and Published	Public	DOE Joint Genome Institute	DOE	Bruce D	microbes@cuba.jgi-psf.org	NA	Amet	2007-06-28	Unpublished 	Environmental, Bioremediation	293826	13006	NA		000694_GCAT	NA		NA	58790	640753002	NC_009633	Complete	NA		NA		NA		NA		NA	4400	5077	1	0	36.6	Sanger	USA	Borax leachate ponds	NA		NA		NA	Borax leachate ponds	NA		NA		NA		NA		NA		NA		NA		NA		Anaerobe	Rod-shaped	Sporulating	NA	Mesophile	Halophile	NA		NA		gram+	Free living	NA		NA		NA	None	Ponds	NA		Motile	Metal reducer, Alkalophile	
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	BACTERIAL	Staphylococcus aureus  JH1 VISA	JH1 VISA	NA		Staphylococcus aureus subsp. aureus JH1	NA		Gc00586	Gi00765	Genome	Complete and Published	Public	DOE Joint Genome Institute, Rockefeller Univ	DOE	Bruce D	microbes@cuba.jgi-psf.org	NA	SaurJH1	2007-06-28	PNAS 104, 9451-6	Animal Pathogen, Cattle Pathogen, Poultry Pathogen, Medical, Human Pathogen	359787	15758	NA		001516_GCAT	NA		NA	247822	640753052	NC_009632	Complete	NA		NA		NA		11x	NA		2906	2980	1	1	32.9	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Facultative	Coccus-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		NA	Staphylococcal scarlet fever, Toxic-shock syndrome	Host	30 - 37	NA	Nonmotile	Pathogen	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii	BACTERIAL	Clostridium beijerinckii  NCIMB 8052	NCIMB 8052	NA		Clostridium beijerinckii NCIMB 8052	NCIMB 8052	NA	Gc00585	Gi00156	Genome	Complete and Published	Public	DOE Joint Genome Institute, Univ of Illinois	DOE	Bruce D	microbes@cuba.jgi-psf.org	NA	Cbei	2007-06-27	Unpublished 	Biotechnological, Energy production, Solvent production	290402	12637	NA		000966_GCAT	NA		NA	356694	640753016	NC_009617	Complete	NA		NA		NA		NA		NA	6000	5364	1	0	29.9	Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Anaerobe	Rod-shaped	Sporulating	NA	Mesophile	NA		NA		NA	gram+	Free living	NA		NA		Pairs, Singles	None	Soil, Fresh water	NA		Motile	NA	Chemoorganotroph
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vulgatus	BACTERIAL	Bacteroides vulgatus  ATCC 8482	ATCC 8482	NA		Bacteroides vulgatus ATCC 8482	ATCC 8482	Yes	Gc00584	Gi00072	Genome	Complete and Published	Public	Washington Univ	NSF	Gordon J	jgordon@wustl.edu	NA	BVU	2007-06-27	PLoS Biology 5, E156	Animal Pathogen, Medical, Human Pathogen, Human Gut Microbiome Initiative (HGMI)	435590	13378	NA		000771_GCAT	NA		NA	356684	640753008	NC_009614	Complete	NA		NA		NA		NA		NA	5163	4189	1	0	42.2	Sanger	USA	NA		NA		NA		NA		NA		NA	Homo sapiens	NA		NA		NA		NA	Gastrointestinal tract	NA	Intestinal tract	NA	Anaerobe	Rod-shaped	NA		Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	Opportunistic peritoneal disease	Intestinal microflora, Host	NA		NA	Pathogen	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides distasonis	BACTERIAL	Parabacteroides distasonis  ATCC 8503	ATCC 8503	NA		Parabacteroides distasonis ATCC 8503	ATCC 8503	Yes	Gc00583	Gi00067	Genome	Complete and Published	Public	Washington Univ	NSF	Gordon J	jgordon@wustl.edu	NA	BDI	2007-06-27	PLoS Biology 5, E156	Animal Pathogen, Medical, Human Pathogen, Human Gut Microbiome Initiative (HGMI)	435591	13485	NA		000765_GCAT	NA		NA	252514	640753039	NC_009615	Complete	NA		NA		NA		NA		NA	4811	3965	1	0	45.1	454, Sanger	USA	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Intestinal tract	NA	Anaerobe	Rod-shaped	Nonsporulating	NA	Mesophile	NA		NA		NA	gram-	Free living	NA		NA		NA	Opportunistic peritoneal disease	Intestinal microflora, Host	NA		Nonmotile	Pathogen	
Bacteria	Thermotogae	Thermotogae (class)	Thermotogales	Thermotogaceae	Thermosipho	Thermosipho melanesiensis	BACTERIAL	Thermosipho melanesiensis  BI429	BI429	NA		Thermosipho melanesiensis BI429	CIP 104789, DSM 12029	Yes	Gc00582	Gi01045	Genome	Complete and Published	Public	DOE Joint Genome Institute	DOE	Bruce D	microbes@cuba.jgi-psf.org	NA	Tmel	2007-06-26	Unpublished 	Evolutionary, Biotechnological	391009	17249	NA		001610_GCAT	NA		NA	192511	640753057	NC_009616	Complete	NA		NA		NA		10x	NA		1915	2002	1	0	30	Sanger, 454	USA	"Gills of the deep-sea vent hydrothermal mussel Bathymodiolus brevior from the Lau Basin at Southwestern Pacific Ocean, between 1832 and 1887 metres (latitude, 22o329S; longitude, 176o439W)"	NA		NA		NA	Lau Basin at Southwestern Pacific Ocean, between 1832 and 1887 meters	-22.058056	-176.0775	NA	1832 - 1887 meters	Bathymodiolus brevior	NA		NA		NA		NA		NA		NA	Anaerobe	Rod-shaped	NA		Thermophile	NA	6.5	NA		NA	gram-	Free living	NA		NA		NA	None	Hydrothermal vent, Marine	70	NA		NA	
Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum	BACTERIAL	Flavobacterium psychrophilum  JIP02/86	JIP02/86	NA		Flavobacterium psychrophilum JIP02/86	ATCC 49511	No	Gc00581	NA	Genome	Complete and Published	Public	INRA	NA		NA		FP	2007-06-25	Nature Biotechnol 25, 763-9	Medical, Fish Pathogen	402612	19979	NA		002803_GCAT	NA		NA		640753027	NC_009613	Complete	NA		NA		NA		NA		NA	2861	2505	1	0	32.5	Sanger	France	NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA		NA	Aerobe	Rod-shaped	Nonsporulating	NA	Psychrophile	NA		NA		NA	gram-	Free living	NA		NA		NA	Bacterial cold water, Rainbow trout fry syndrome	Host, Fresh water	NA		Motile	Pathogen	
